epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,195.186,1.63697,0.74233,1.2306,0.91468,0.90341,0.89072,0.29831,2.38482,0.76224,1.7569,0.000614,0.000614,0.000614
44,199.962,1.71218,0.82687,1.27541,0.9273,0.93152,0.91733,0.33272,2.29865,0.74249,1.70789,0.000581,0.000581,0.000581
45,203.866,1.57174,0.70976,1.20074,0.93855,0.94382,0.92144,0.35287,2.225,0.71115,1.65966,0.000548,0.000548,0.000548
46,207.677,1.58407,0.71044,1.20419,0.90915,0.92697,0.90567,0.32401,2.35544,0.76243,1.77561,0.000515,0.000515,0.000515
47,212.393,1.61929,0.71514,1.1989,0.89776,0.91011,0.88841,0.31295,2.34087,0.77086,1.74265,0.000482,0.000482,0.000482
48,216.381,1.60899,0.71112,1.1916,0.93858,0.95506,0.94459,0.34076,2.24967,0.73231,1.65283,0.000449,0.000449,0.000449
49,220.252,1.62309,0.77159,1.20322,0.96455,0.97753,0.96776,0.36513,2.15698,0.70254,1.57694,0.000416,0.000416,0.000416
50,224.612,1.56779,0.7233,1.17922,0.96657,0.97473,0.96734,0.35791,2.15621,0.72613,1.58391,0.000383,0.000383,0.000383
51,231.496,1.62006,0.69566,1.27716,0.95003,0.96129,0.94829,0.34238,2.22537,0.72392,1.64184,0.00035,0.00035,0.00035
52,235.57,1.59157,0.6703,1.2413,0.97756,0.97895,0.9832,0.38041,2.08517,0.69108,1.5232,0.000317,0.000317,0.000317
53,240.396,1.51811,0.64429,1.21436,0.94541,0.94382,0.92505,0.33273,2.27693,0.70323,1.67935,0.000284,0.000284,0.000284
54,244.496,1.53197,0.64482,1.23433,0.92858,0.92697,0.91119,0.31774,2.38462,0.72799,1.77091,0.000251,0.000251,0.000251
55,248.69,1.5476,0.65253,1.23696,0.92242,0.9382,0.91323,0.31107,2.36811,0.71845,1.75857,0.000218,0.000218,0.000218
56,252.716,1.53707,0.67823,1.23799,0.91327,0.9382,0.9121,0.29854,2.39605,0.73625,1.77628,0.000185,0.000185,0.000185
57,258.762,1.52989,0.64311,1.24342,0.91739,0.93586,0.9102,0.30348,2.36147,0.73948,1.74633,0.000152,0.000152,0.000152
58,263.026,1.5146,0.63627,1.20379,0.93665,0.95506,0.93927,0.33213,2.27944,0.72619,1.67781,0.000119,0.000119,0.000119
59,267.232,1.52967,0.6259,1.21258,0.94209,0.96067,0.95142,0.33854,2.26498,0.71885,1.66142,8.6e-05,8.6e-05,8.6e-05
60,271.685,1.52404,0.62511,1.21558,0.93603,0.95506,0.94465,0.34528,2.24035,0.70522,1.63795,5.3e-05,5.3e-05,5.3e-05
